name,expr,n_vars,n_pdn,n_pun,n_common_neg,total,pdn_ok,pun_ok,complete
P733,a*!b*!d+c*d+b*d+!a*d,4,7,7,3,20,True,True,True
P734,!a*!b*!c+a*!b*c+c*d+b*d,4,10,9,3,25,True,True,True
P735,a*!b*c+b*d+!a*d,4,7,7,2,18,True,True,True
P744,!b*!c*!d+c*d+b*d+!a*!c+!a*!b,4,9,10,4,27,True,True,True
P745,a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d+!a*d,4,17,20,4,45,True,True,True
P746,c*d+b*d+!a*!c+!a*!b,4,6,6,3,18,True,True,True
P747,!a*b*!c+!a*!b*c+c*d+b*d+!a*d,4,9,10,3,25,True,True,True
P748,!b*!c*!d+c*d+b*d+!a*!b,4,8,7,4,23,True,True,True
P749,a*!b*!c*!d+!a*!b*c+c*d+b*d+!a*d,4,19,9,4,36,True,True,True
P750,c*d+b*d+!a*!b,4,5,5,2,14,True,True,True
P751,!a*!b*c+c*d+b*d+!a*d,4,7,8,2,19,True,True,True
P764,!b*!c*!d+c*d+b*d+!a*d,4,7,9,4,24,True,True,True
P765,a*!b*!c*!d+c*d+b*d+!a*d,4,8,14,4,30,True,True,True
P766,!a*!b*!c+c*d+b*d,4,7,7,3,20,True,True,True
P767,c*d+b*d+!a*d,4,4,4,1,10,True,True,True
P828,!b*!c*!d+c*d+b*d+b*c,3,,,,,False,False,False
P829,a*!b*!c*!d+c*d+b*d+b*c,4,13,9,3,28,True,True,True
P830,!a*!b*!c*!d+c*d+b*d+b*c,4,12,13,4,33,True,True,True
P831,c*d+b*d+b*c,3,7,6,0,13,True,True,True
P854,!a*!b*!c*!d+c*d+b*d+a*c+a*b,4,10,12,4,30,True,True,True
P855,c*d+b*d+a*c+a*b,4,4,4,0,8,True,True,True
P856,!b*!c*!d+!a*b*!c+c*d+b*d+a*c,4,9,9,4,26,True,True,True
P857,a*!b*!d+!a*b*!c+c*d+b*d+a*c,4,9,11,4,28,True,True,True
P858,!a*!c*!d+c*d+b*d+a*c,4,8,9,3,23,True,True,True
P859,!a*b*!c+c*d+b*d+a*c,4,9,7,2,20,True,True,True
P862,!a*!b*!c*!d+c*d+b*d+a*c,4,10,11,4,29,True,True,True
P863,c*d+b*d+a*c,4,5,5,0,10,True,True,True
P872,!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d,4,16,11,4,35,True,True,True
P873,a*!b*!c*!d+!a*b*!c+!a*!b*c+a*b*c+c*d+b*d,4,17,15,4,40,True,True,True
P874,!a*!c*!d+!a*!b*c+a*b*c+c*d+b*d,4,15,10,4,33,True,True,True
P875,!a*b*!c+!a*!b*c+a*b*c+c*d+b*d,4,12,12,3,30,True,True,True
P876,!b*!c*!d+!a*!b*c+a*b*c+c*d+b*d,4,15,15,4,38,True,True,True
P877,a*!b*!c*!d+!a*!b*c+a*b*c+c*d+b*d,4,14,14,4,36,True,True,True
P878,!a*!b*!d+a*b*c+c*d+b*d,4,13,12,3,31,True,True,True
P879,!a*!b*c+a*b*c+c*d+b*d,4,8,12,2,24,True,True,True
P892,!b*!c*!d+a*b*c+c*d+b*d,4,10,11,3,27,True,True,True
P893,a*!b*!c*!d+a*b*c+c*d+b*d,4,9,8,3,23,True,True,True
P894,!a*!b*!c*!d+a*b*c+c*d+b*d,4,12,14,4,34,True,True,True
P895,a*b*c+c*d+b*d,4,6,6,0,12,True,True,True
P896,!c*!d+!a*!d+b*d+!b*c,4,7,7,4,22,True,True,True
P897,a*!c*!d+b*d+!b*c+!a*b,4,15,9,4,32,True,True,True
P898,!a*!d+c*d+b*!c+!b*c,4,9,8,4,25,True,True,True
P899,c*d+b*!c+!b*c+!a*c,4,8,6,3,20,True,True,True
P900,a*b*!c+!b*!d+c*d+b*d+!a*c,4,9,14,4,31,True,True,True
P901,a*!c*!d+b*d+!b*c+!a*c,4,12,11,4,31,True,True,True
P902,!a*!b*!d+a*b*!c+b*d+!b*c+!a*c,4,12,11,4,31,True,True,True
P903,a*b*!c+b*d+!b*c+!a*c,4,13,12,3,31,True,True,True
P904,!b*!d+!a*!d+c*d+b*d,4,6,6,3,18,True,True,True
P905,a*!b*!d+b*d+!b*c+!a*b,4,7,9,3,22,True,True,True
P906,!a*!d+b*d+!b*c,4,7,8,3,21,True,True,True
P907,b*d+!b*c+!a*b,4,7,5,2,16,True,True,True
P908,!b*!d+c*d+b*d+!a*c,4,7,13,3,26,True,True,True
P909,a*!b*!d+c*d+b*d+!a*c,4,8,8,3,22,True,True,True
P910,!a*!b*!d+b*d+!b*c+!a*c,4,9,12,3,27,True,True,True
P911,b*d+!b*c+!a*c,4,6,7,2,17,True,True,True
P916,!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d,4,15,11,4,34,True,True,True
P917,a*!c*!d+a*!b*c+!a*b*c+c*d+b*d,4,13,14,4,35,True,True,True
P918,!a*!b*!c*!d+a*b*!c+a*!b*c+!a*b*c+c*d+b*d,4,20,14,4,42,True,True,True
P919,a*b*!c+a*!b*c+!a*b*c+c*d+b*d,4,15,10,3,31,True,True,True
P920,!b*!c*!d+a*!b*c+c*d+b*d+!a*b,4,11,11,4,30,True,True,True
P921,a*!b*!d+c*d+b*d+!a*b,4,10,7,3,23,True,True,True
P922,!a*!c*!d+a*!b*c+c*d+b*d+!a*b,4,10,15,4,33,True,True,True
P923,a*!b*c+c*d+b*d+!a*b,4,9,7,2,20,True,True,True
P924,!b*!c*!d+a*!b*c+!a*b*c+c*d+b*d,4,16,13,4,37,True,True,True
P925,a*!b*!d+!a*b*c+c*d+b*d,4,15,11,3,32,True,True,True
P926,!a*!b*!c*!d+a*!b*c+!a*b*c+c*d+b*d,4,16,19,4,43,True,True,True
P927,a*!b*c+!a*b*c+c*d+b*d,4,8,9,2,21,True,True,True
P936,!b*!c*!d+!a*!d+c*d+b*d,4,9,9,4,26,True,True,True
P937,a*!b*!c*!d+c*d+b*d+!a*c+!a*b,4,19,12,4,39,True,True,True
P938,!a*!d+c*d+b*d,4,5,5,2,14,True,True,True
P939,c*d+b*d+!a*c+!a*b,4,4,4,1,10,True,True,True
P940,!b*!c*!d+c*d+b*d+!a*c,4,8,10,4,26,True,True,True
P941,a*!b*!c*!d+c*d+b*d+!a*c,4,9,13,4,30,True,True,True
P942,!a*!b*!d+c*d+b*d+!a*c,4,7,9,3,22,True,True,True
P943,c*d+b*d+!a*c,4,5,5,1,12,True,True,True
P956,!b*!c*!d+!a*b*c+c*d+b*d,4,12,15,4,35,True,True,True
P957,a*!b*!c*!d+!a*b*c+c*d+b*d,4,12,9,4,29,True,True,True
P958,!a*!b*!c*!d+!a*b*c+c*d+b*d,4,19,8,4,35,True,True,True
P959,!a*b*c+c*d+b*d,4,6,6,1,14,True,True,True
P960,!c*!d+b*d+!b*c,3,,11,,,False,True,False
P961,a*!c*!d+c*d+b*!c+!b*c,4,12,10,3,28,True,True,True
P962,!a*!c*!d+c*d+b*!c+!b*c,4,10,11,4,29,True,True,True
P963,c*d+b*!c+!b*c,3,,,,,False,False,False
P964,a*b*!c+!b*!d+c*d+b*d,4,9,11,3,26,True,True,True
P965,a*!c*!d+b*d+!b*c,4,10,10,3,26,True,True,True
P966,!a*!b*!d+a*b*!c+b*d+!b*c,4,10,11,4,29,True,True,True
P967,a*b*!c+b*d+!b*c,4,9,10,3,25,True,True,True
P968,!a*b*!c+!b*!d+c*d+b*d,4,7,11,4,26,True,True,True
P969,a*!b*!d+!a*b*!c+b*d+!b*c,4,11,10,4,29,True,True,True
P970,!a*!c*!d+b*d+!b*c,4,9,11,4,28,True,True,True
P971,!a*b*!c+b*d+!b*c,4,9,10,3,25,True,True,True
P972,!b*!d+c*d+b*d,3,,8,,,False,True,False
P973,a*!b*!d+b*d+!b*c,4,8,10,3,24,True,True,True
P974,!a*!b*!d+b*d+!b*c,4,8,7,3,21,True,True,True
P975,b*d+!b*c,3,,12,,,False,True,False
P980,!b*!c*!d+a*b*!c+a*!b*c+c*d+b*d,4,16,12,3,34,True,True,True
P981,a*!c*!d+a*!b*c+c*d+b*d,4,12,8,3,26,True,True,True
P982,!a*!b*!c*!d+a*b*!c+a*!b*c+c*d+b*d,4,17,20,4,45,True,True,True
P983,a*b*!c+a*!b*c+c*d+b*d,4,8,7,2,19,True,True,True
P984,!b*!c*!d+!a*b*!c+a*!b*c+c*d+b*d,4,8,9,4,25,True,True,True
P985,a*!b*!d+!a*b*!c+c*d+b*d,4,13,9,4,30,True,True,True
P986,!a*!c*!d+a*!b*c+c*d+b*d,4,8,8,4,24,True,True,True
P987,!a*b*!c+a*!b*c+c*d+b*d,4,9,7,3,22,True,True,True
P988,!b*!c*!d+a*!b*c+c*d+b*d,4,7,7,3,20,True,True,True
P989,a*!b*!d+c*d+b*d,4,8,6,2,18,True,True,True
P990,!a*!b*!c*!d+a*!b*c+c*d+b*d,4,11,11,4,30,True,True,True
P991,a*!b*c+c*d+b*d,4,6,6,1,14,True,True,True
P1000,!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d,4,15,11,4,34,True,True,True
P1001,a*!b*!c*!d+!a*b*!c+!a*!b*c+c*d+b*d,4,17,14,4,39,True,True,True
P1002,!a*!c*!d+!a*!b*c+c*d+b*d,4,11,7,4,26,True,True,True
P1003,!a*b*!c+!a*!b*c+c*d+b*d,4,9,10,3,25,True,True,True
